date,page_views,unique_visitors,bounce_rate,avg_session_duration,conversions,revenue,traffic_source,device_type,country
2024-01-01,15000,8500,45.2,180,245,12250,Organic,Desktop,USA
2024-01-02,18500,9200,42.8,195,312,15600,Social Media,Mobile,USA
2024-01-03,16200,8800,47.5,165,228,11400,Paid Ads,Desktop,UK
2024-01-04,14800,7900,48.1,155,198,9900,Direct,Mobile,Canada
2024-01-05,19200,10100,41.3,210,385,19250,Organic,Desktop,USA
2024-01-06,12500,6700,52.4,140,156,7800,Email,Tablet,Germany
2024-01-07,17800,9500,43.7,188,298,14900,Social Media,Mobile,USA
2024-01-08,20100,10800,39.2,225,412,20600,Organic,Desktop,USA
2024-01-09,15900,8300,46.8,172,265,13250,Paid Ads,Mobile,UK
2024-01-10,16700,8900,44.5,182,289,14450,Direct,Desktop,Canada
2024-02-01,21000,11200,38.5,235,445,22250,Organic,Desktop,USA
2024-02-02,18900,9800,41.9,198,334,16700,Social Media,Mobile,USA
2024-02-03,17200,9100,45.3,175,267,13350,Paid Ads,Desktop,UK
2024-02-04,16500,8600,47.2,168,242,12100,Email,Mobile,Germany
2024-02-05,22500,12000,36.8,245,478,23900,Organic,Desktop,USA
2024-02-06,14200,7500,51.6,145,178,8900,Direct,Tablet,Canada
2024-02-07,19800,10500,40.4,205,356,17800,Social Media,Mobile,USA
2024-02-08,23100,12300,35.2,255,512,25600,Organic,Desktop,USA
2024-02-09,17600,9300,43.8,185,298,14900,Paid Ads,Mobile,UK
2024-02-10,18400,9700,42.1,192,321,16050,Direct,Desktop,Canada
2024-03-01,24500,13000,34.7,265,545,27250,Organic,Desktop,USA
2024-03-02,20700,11000,39.6,212,389,19450,Social Media,Mobile,USA
2024-03-03,18900,9900,42.5,188,312,15600,Paid Ads,Desktop,UK
2024-03-04,17800,9400,44.9,178,278,13900,Email,Mobile,Germany
2024-03-05,25800,13700,33.1,275,598,29900,Organic,Desktop,USA
2024-03-06,15600,8200,49.8,152,201,10050,Direct,Tablet,Canada
2024-03-07,21900,11600,38.2,218,412,20600,Social Media,Mobile,USA
2024-03-08,26200,13900,31.5,285,634,31700,Organic,Desktop,USA
2024-03-09,19500,10200,41.2,195,345,17250,Paid Ads,Mobile,UK
2024-03-10,20300,10700,39.8,208,378,18900,Direct,Desktop,Canada
