order_id,date,region,product_category,sales_rep,revenue,units_sold,cost,profit,customer_satisfaction
ORD001,2024-01-15,North,Electronics,John Smith,15000,25,9000,6000,4.5
ORD002,2024-01-16,South,Furniture,Jane Doe,8500,12,5100,3400,4.2
ORD003,2024-01-17,East,Electronics,Mike Johnson,22000,40,13200,8800,4.8
ORD004,2024-01-18,West,Office Supplies,Sarah Wilson,4500,30,2700,1800,4.0
ORD005,2024-01-19,North,Furniture,John Smith,12000,18,7200,4800,4.6
ORD006,2024-02-10,South,Electronics,Jane Doe,18500,35,11100,7400,4.7
ORD007,2024-02-11,East,Office Supplies,Mike Johnson,3200,20,1920,1280,3.9
ORD008,2024-02-12,West,Furniture,Sarah Wilson,9800,15,5880,3920,4.3
ORD009,2024-02-13,North,Electronics,John Smith,25000,50,15000,10000,4.9
ORD010,2024-02-14,South,Office Supplies,Jane Doe,5500,35,3300,2200,4.1
ORD011,2024-03-05,East,Electronics,Mike Johnson,19000,38,11400,7600,4.6
ORD012,2024-03-06,West,Furniture,Sarah Wilson,11000,20,6600,4400,4.4
ORD013,2024-03-07,North,Office Supplies,John Smith,4800,32,2880,1920,4.2
ORD014,2024-03-08,South,Electronics,Jane Doe,21000,42,12600,8400,4.8
ORD015,2024-03-09,East,Furniture,Mike Johnson,13500,22,8100,5400,4.5
ORD016,2024-04-12,West,Electronics,Sarah Wilson,17500,36,10500,7000,4.7
ORD017,2024-04-13,North,Office Supplies,John Smith,6200,40,3720,2480,4.0
ORD018,2024-04-14,South,Furniture,Jane Doe,10500,17,6300,4200,4.3
ORD019,2024-04-15,East,Electronics,Mike Johnson,23500,48,14100,9400,4.9
ORD020,2024-04-16,West,Office Supplies,Sarah Wilson,4900,33,2940,1960,3.8
ORD021,2024-05-18,North,Electronics,John Smith,20000,41,12000,8000,4.6
ORD022,2024-05-19,South,Furniture,Jane Doe,9200,14,5520,3680,4.2
ORD023,2024-05-20,East,Office Supplies,Mike Johnson,5800,38,3480,2320,4.1
ORD024,2024-05-21,West,Electronics,Sarah Wilson,18000,37,10800,7200,4.7
ORD025,2024-05-22,North,Furniture,John Smith,11500,19,6900,4600,4.4
ORD026,2024-06-25,South,Electronics,Jane Doe,24000,49,14400,9600,4.9
ORD027,2024-06-26,East,Office Supplies,Mike Johnson,4200,28,2520,1680,3.9
ORD028,2024-06-27,West,Furniture,Sarah Wilson,12500,21,7500,5000,4.5
ORD029,2024-06-28,North,Electronics,John Smith,16500,34,9900,6600,4.6
ORD030,2024-06-29,South,Office Supplies,Jane Doe,5300,36,3180,2120,4.0
